animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A668705,1,Moe,51,37,1,2013-07-07 00:00:00
A681986,1,Boomer,51,23,25,2014-04-22 00:00:00
A692355,1,,51,3,1,2014-03-18 00:00:00
A679797,1,Genevieve,51,14,1,2001-05-26 00:00:00
A690075,1,,48,18,1,2014-02-13 00:00:00
A685145,1,*Mundy,20,23,25,2014-07-07 00:00:00
A682065,1,Baby,51,27,1,2013-12-23 00:00:00
A676400,1,,51,3,1,2014-04-02 00:00:00
A686224,1,,51,22,25,2014-04-18 00:00:00
A687766,1,,51,3,1,2014-09-02 00:00:00
A678376,1,,51,23,1,2014-03-08 00:00:00
A689989,1,Solo,56,24,1,2010-10-12 00:00:00
A677364,1,*Arwen,48,20,1,2014-03-24 00:00:00
A674736,1,*Barbara,51,14,1,2014-03-15 00:00:00
A683139,1,*Bobby,51,14,1,2014-05-19 00:00:00
A682974,1,,51,27,1,2014-06-20 00:00:00
A685096,1,,51,14,1,2014-04-17 00:00:00
A689765,1,*Heath,51,13,25,2014-07-22 00:00:00
A682286,1,*Seven,51,3,1,2014-04-26 00:00:00
A683526,1,,20,6,25,2014-06-06 00:00:00
A686812,1,Sy,48,7,1,2013-03-27 00:00:00
A664641,1,,51,3,1,2013-10-05 00:00:00
A691439,1,,51,23,1,2014-03-04 00:00:00
A690004,1,,51,27,1,2013-10-12 00:00:00
A672404,1,*Goldie,51,3,1,2005-02-09 00:00:00
A686312,1,,51,27,1,2014-05-19 00:00:00
A680478,1,Binx,11,23,25,2011-12-03 00:00:00
A676657,1,Kylie,51,3,1,2009-04-13 00:00:00
A674895,1,Jazzper,51,13,25,2012-03-19 00:00:00
A688029,1,,51,14,1,2014-08-29 00:00:00
A690927,1,,51,27,1,2014-08-28 00:00:00
A691788,1,George,48,7,1,2010-11-09 00:00:00
A682485,1,,51,23,1,2012-06-28 00:00:00
A674521,1,,51,27,1,2014-02-27 00:00:00
A677685,1,,20,3,1,2014-04-08 00:00:00
A683233,1,*Lucas,51,13,25,2013-07-08 00:00:00
A690904,1,,51,23,1,2014-08-27 00:00:00
A662170,1,Felix,51,42,1,2004-01-01 00:00:00
A662761,1,Petunia,51,13,25,2013-08-17 00:00:00
A687528,1,,51,14,1,2014-08-30 00:00:00
A691437,1,*Philippe,51,13,25,2014-10-05 00:00:00
A685647,1,Garbage,51,42,1,2014-04-10 00:00:00
A687936,1,Isis,51,3,1,2013-09-12 00:00:00
A682304,1,,51,27,1,2014-03-26 00:00:00
A686093,1,Mouse,51,13,25,2014-04-07 00:00:00
A669478,1,Ginger Peace,51,14,1,2013-10-30 00:00:00
A687684,1,,51,25,23,2014-09-03 00:00:00
A680397,1,*Walt,51,23,1,2014-05-04 00:00:00
A664494,1,*Flower,11,3,1,2006-10-04 00:00:00
A665549,1,Bella,51,25,42,2011-10-19 00:00:00
A495792,1,Macintosh,51,25,42,2007-10-13 00:00:00
A666661,1,*Darwin,51,25,27,2013-09-13 00:00:00
A669137,1,*Minnie,51,3,1,2013-10-24 00:00:00
A689901,1,*Leroy,51,27,25,2014-08-27 00:00:00
A684384,1,,51,42,1,2014-07-08 00:00:00
A683578,1,,51,24,1,2014-04-12 00:00:00
A690566,1,,51,22,25,2014-09-30 00:00:00
A686525,1,,51,42,1,2014-08-14 00:00:00
A687663,1,,51,14,1,2014-08-24 00:00:00
A683040,1,,51,42,1,2014-06-14 00:00:00
A673569,1,,51,27,1,2013-02-26 00:00:00
A682446,1,Crybaby,51,42,1,2010-06-27 00:00:00
A681476,1,Skittles,51,25,14,2014-04-22 00:00:00
A677836,1,,51,27,25,2014-03-29 00:00:00
A693716,1,,51,24,1,2014-11-21 00:00:00
A635769,1,,51,13,25,2012-05-12 00:00:00
